2024-10-22 17:34:12.263 INFO  56815 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-10-22 17:34:12.264 INFO  56815 --- [restartedMain] o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 880 ms
2024-10-22 17:34:12.343 INFO  56815 --- [restartedMain] o.h.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-10-22 17:34:12.366 INFO  56815 --- [restartedMain] org.hibernate.Version : HHH000412: Hibernate ORM core version 6.4.9.Final
2024-10-22 17:34:12.380 INFO  56815 --- [restartedMain] o.h.c.i.RegionFactoryInitiator : HHH000026: Second-level cache disabled
2024-10-22 17:34:12.504 INFO  56815 --- [restartedMain] o.s.o.j.p.SpringPersistenceUnitInfo : No LoadTimeWeaver setup: ignoring JPA class transformer
2024-10-22 17:34:12.521 INFO  56815 --- [restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2024-10-22 17:34:12.674 INFO  56815 --- [restartedMain] com.zaxxer.hikari.pool.HikariPool : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@19d17bb5
2024-10-22 17:34:12.676 INFO  56815 --- [restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2024-10-22 17:34:12.708 WARN  56815 --- [restartedMain] org.hibernate.orm.deprecation : HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-10-22 17:34:13.205 INFO  56815 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-10-22 17:34:13.379 INFO  56815 --- [restartedMain] o.s.o.j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-10-22 17:34:14.565 WARN  56815 --- [restartedMain] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
